id,start,end,start_min,end_min,duration,code,category,n_players,free_text,spelers,hoofdmomenten,fase,spelhervatting
1073,7131.496910164666,7168.6966274979995,118.85828183607777,119.47827712496665,37.199717333333865,ATT 2,Phase,8,,"Player_11, Player_7, Player_10, Player_12, Player_4, Player_14, Player_7, Player_5",,ATT 2,
1074,7131.897011206999,7168.6966274979995,118.86495018678332,119.47827712496665,36.79961629100035,AANVALLEN,Moment,8,,"Player_11, Player_7, Player_10, Player_12, Player_4, Player_14, Player_7, Player_5",AANVALLEN,ATT 2,AJAX | VRIJE TRAP OVERIG
1075,7133.397135872332,7156.0908494569985,118.88995226453886,119.2681808242833,22.69371358466651,Player_11,Player,3,,"Player_11, Player_7, Player_10",,,
1076,7133.597013414333,7145.597013414333,118.89328355690554,119.09328355690555,12.0,AJAX | VRIJE TRAP OVERIG,Restart,2,,"Player_11, Player_7",,ATT 2,AJAX | VRIJE TRAP OVERIG
1077,7135.182726497667,7156.0970683316655,118.91971210829446,119.26828447219442,20.91434183399815,Player_7,Player,2,,"Player_7, Player_10",,,
1078,7138.396504706333,7163.495850164333,118.97327507843889,119.39159750273889,25.099345458000244,Player_10,Player,4,,"Player_10, Player_12, Player_4, Player_14",,,
1079,7146.395361373333,7166.395361373333,119.10658935622222,119.43992268955554,20.0,Player_12,Player,4,,"Player_12, Player_4, Player_14, Player_7",,,
1080,7146.894930998001,7167.296681873,119.11491551663335,119.45494469788333,20.40175087499938,Player_4,Player,3,,"Player_4, Player_14, Player_7",,,
1081,7147.496924205666,7179.196916581332,119.1249487367611,119.6532819430222,31.699992375665715,Player_14,Player,3,,"Player_14, Player_7, Player_5",,,
1082,7155.896645290665,7177.297133581334,119.26494408817776,119.62161889302223,21.400488290668363,Player_7,Player,2,,"Player_7, Player_5",,,
1083,7157.496740415666,7177.496740415666,119.2916123402611,119.62494567359444,20.0,Player_5,Player,1,,Player_5,,,
1084,7168.6966274979995,7179.496684039666,119.47827712496665,119.65827806732777,10.80005654166689,BOP,Moment,0,,,,,
1085,7172.190175997665,7192.190175997665,119.53650293329443,119.86983626662776,20.0,Player_6,Player,3,,"Player_6, Player_4, Player_14",,,
1086,7172.196862580665,7192.196862580665,119.53661437634442,119.86994770967775,20.0,Player_5,Player,4,,"Player_5, Player_6, Player_4, Player_14",,,
1087,7174.695458622667,7199.497083581333,119.57825764371111,119.99161805968888,24.801624958666252,Player_4,Player,3,,"Player_4, Player_14, Player_3",,,
1088,7175.896853456999,7201.296851040001,119.59828089095,120.02161418400001,25.399997583001095,ATT 2,Phase,5,,"Player_5, Player_6, Player_4, Player_14, Player_3",,ATT 2,
1089,7176.296987039999,7209.697056831666,119.60494978399998,120.1616176138611,33.40006979166628,Player_14,Player,2,,"Player_14, Player_3",,,
1090,7177.496684039666,7201.296851040001,119.62494473399444,120.02161418400001,23.800167000334113,AANVALLEN,Moment,5,,"Player_5, Player_6, Player_4, Player_14, Player_3",AANVALLEN,ATT 2,AJAX | INGOOI
1091,7177.997154706666,7189.997154706666,119.63328591177778,119.83328591177776,12.0,AJAX | INGOOI,Restart,4,,"Player_5, Player_6, Player_4, Player_14",,ATT 2,AJAX | INGOOI
1092,7186.195472413665,7210.996499082334,119.76992454022775,120.18327498470556,24.801026668668783,Player_3,Player,1,,Player_3,,,
1093,7201.296851040001,7203.405932331,120.02161418400001,120.05676553885,2.109081290999711,BOP,Moment,0,,,,,
1094,7201.405932331,7206.896824706999,120.02343220551667,120.11494707844999,5.4908923759985555,AANVALLEN,Moment,0,,,AANVALLEN,,
1095,7206.896824706999,7240.597189164999,120.11494707844999,120.67661981941664,33.70036445799997,BOP,Moment,0,,,,,
1096,7236.597128832001,7256.597128832001,120.6099521472,120.94328548053335,20.0,Player_4,Player,4,,"Player_4, Player_7, Player_14, Player_5",,,
1097,7236.897035331,7256.897035331,120.61495058885,120.94828392218332,20.0,Player_7,Player,3,,"Player_7, Player_14, Player_5",,,
1098,7236.996799747332,7266.996799747332,120.6166133291222,121.1166133291222,30.0,Player_14,Player,5,,"Player_14, Player_5, Player_12, Player_10, Player_16",,,
1099,7237.296952621999,7273.196954998665,120.6216158770333,121.21994924997776,35.900002376666635,ATT 2,Phase,9,,"Player_4, Player_7, Player_14, Player_5, Player_12, Player_10, Player_16, Player_8, Player_6",,ATT 2,
1100,7238.597189164999,7273.196954998665,120.64328648608331,121.21994924997776,34.599765833666424,AANVALLEN,Moment,9,,"Player_4, Player_7, Player_14, Player_5, Player_12, Player_10, Player_16, Player_8, Player_6",AANVALLEN,ATT 2,AJAX | VRIJE TRAP OVERIG
1101,7239.496635789999,7251.496635789999,120.65827726316665,120.85827726316666,12.0,AJAX | VRIJE TRAP OVERIG,Restart,3,,"Player_4, Player_7, Player_14",,ATT 2,AJAX | VRIJE TRAP OVERIG
1102,7245.797054997664,7268.290118997333,120.76328424996107,121.13816864995555,22.493063999668266,Player_5,Player,5,,"Player_5, Player_12, Player_10, Player_16, Player_8",,,
1103,7247.296559704999,7268.296754497333,120.78827599508331,121.13827924162221,21.000194792333787,Player_12,Player,4,,"Player_12, Player_10, Player_16, Player_8",,,
1104,7249.795953831665,7282.397134456667,120.82993256386109,121.37328557427779,32.60118062500169,Player_10,Player,4,,"Player_10, Player_16, Player_8, Player_6",A>V,,
1105,7249.896709040333,7277.595237998332,120.83161181733888,121.29325396663886,27.69852895799886,Player_16,Player,3,,"Player_16, Player_8, Player_6",A>V,,
1106,7257.8966217476645,7278.194724497667,120.9649436957944,121.30324540829446,20.298102750002727,Player_8,Player,2,,"Player_8, Player_6",A>V,,
1107,7258.406351332,7278.406351332,120.97343918886666,121.30677252219999,20.0,Player_6,Player,1,,Player_6,A>V,,
